time,blink_count,ear,fatigue_score,stress_score
2026-03-15 22:16:51,11,0.221,60,0
2026-03-15 22:16:51,11,0.221,62,0
2026-03-15 22:16:51,11,0.229,64,0
2026-03-15 22:16:52,12,0.213,60,0
2026-03-15 22:16:52,12,0.217,62,0
2026-03-15 22:16:52,12,0.21,64,0
2026-03-15 22:16:52,12,0.213,66,0
2026-03-15 22:16:55,14,0.086,60,0
2026-03-15 22:16:55,14,0.161,62,0
2026-03-15 22:16:55,14,0.145,64,1
2026-03-15 22:16:55,14,0.124,66,1
2026-03-15 22:16:56,14,0.223,68,1
2026-03-15 22:16:56,15,0.187,61,0
2026-03-15 22:16:56,15,0.187,63,0
2026-03-15 22:16:56,15,0.186,65,0
2026-03-15 22:16:56,15,0,65,0
2026-03-15 22:16:56,15,0,65,0
2026-03-15 22:16:56,15,0,65,0
2026-03-15 22:16:56,15,0,65,0
2026-03-15 22:16:58,16,0.171,60,0
2026-03-15 22:16:58,16,0.171,62,0
2026-03-15 22:16:58,16,0.186,64,0
2026-03-15 22:16:58,16,0.198,66,1
2026-03-15 22:16:58,16,0.186,68,1
2026-03-15 22:16:58,16,0.187,70,1
2026-03-15 22:16:58,16,0.187,72,1
2026-03-15 22:16:58,16,0.165,74,1
2026-03-15 22:16:58,16,0.175,76,1
2026-03-15 22:16:58,16,0.162,78,1
2026-03-15 22:16:58,16,0.177,80,2
2026-03-15 22:16:58,16,0.226,82,2
2026-03-15 22:16:58,16,0.213,84,2
2026-03-15 22:16:58,16,0.22,86,2
2026-03-15 22:16:58,16,0.22,88,2
2026-03-15 22:16:58,16,0.2,90,3
2026-03-15 22:16:58,16,0.189,92,3
2026-03-15 22:16:58,16,0.204,94,3
2026-03-15 22:16:58,16,0.2,96,3
2026-03-15 22:16:58,16,0.222,98,3
2026-03-15 22:16:58,16,0.216,100,3
2026-03-15 22:16:58,16,0.213,100,3
2026-03-15 22:16:58,16,0.225,100,3
2026-03-15 22:16:58,16,0.221,100,4
2026-03-15 22:16:59,17,0.211,60,2
2026-03-15 22:16:59,17,0.226,62,2
2026-03-15 22:16:59,17,0.221,64,2
2026-03-15 22:16:59,17,0.221,66,2
2026-03-15 22:16:59,17,0.221,68,3
2026-03-15 22:17:01,20,0.225,60,0
2026-03-15 22:17:01,20,0.213,62,0
2026-03-15 22:17:01,20,0.213,64,0
2026-03-15 22:17:01,20,0.213,66,0
2026-03-15 22:17:01,20,0.213,68,0
2026-03-15 22:17:01,20,0.143,70,0
2026-03-15 22:17:01,20,0.159,72,0
2026-03-15 22:17:01,20,0.141,74,0
2026-03-15 22:17:01,20,0.146,76,0
